Split,Classifier,Parameters,Threshold,Accuracy,Precision,Recall,F1,AUC_ROC
1,LR,"{'C': 0.001, 'penalty': 'l1'}",0.01,0.7424786088876622,0.46932515337423314,0.018264295093708964,0.03516028955532574,0.5498373122444663
1,LR,"{'C': 0.001, 'penalty': 'l1'}",0.02,0.739043763609041,0.3987730061349693,0.031037364211531575,0.05759220290176099,0.5498373122444663
1,LR,"{'C': 0.001, 'penalty': 'l1'}",0.05,0.7335234765541141,0.40429447852760736,0.07866778082845888,0.13170780453682424,0.5498373122444663
1,LR,"{'C': 0.001, 'penalty': 'l1'}",0.1,0.7206428067592848,0.38773006134969323,0.1508893398591381,0.21723811979032395,0.5498373122444663
1,LR,"{'C': 0.001, 'penalty': 'l1'}",0.2,0.6858343300518294,0.35684710933905844,0.2777844096932076,0.31239092495637005,0.5498373122444663
1,LR,"{'C': 0.001, 'penalty': 'l1'}",0.3,0.6417027018738308,0.33101615211613167,0.3865345589113048,0.3566275675973347,0.5498373122444663
1,LR,"{'C': 0.001, 'penalty': 'l1'}",0.5,0.528506148986414,0.2854075936944121,0.5554494449086785,0.37706645056726096,0.5498373122444663
1,LR,"{'C': 0.001, 'penalty': 'l2'}",0.01,0.7427852915018247,0.48466257668711654,0.018861167482392263,0.03630931862576123,0.6368949092229272
1,LR,"{'C': 0.001, 'penalty': 'l2'}",0.02,0.7399024749286963,0.42024539877300615,0.03270860689984481,0.06069332151954812,0.6368949092229272
1,LR,"{'C': 0.001, 'penalty': 'l2'}",0.05,0.7357315913760849,0.4263803680981595,0.08296526202697863,0.13890276806235632,0.6368949092229272
1,LR,"{'C': 0.001, 'penalty': 'l2'}",0.1,0.7276965068850247,0.42300613496932515,0.164617404798854,0.23700266391681704,0.6368949092229272
1,LR,"{'C': 0.001, 'penalty': 'l2'}",0.2,0.7001870763946392,0.39273117619996933,0.305718037483586,0.34380453752181495,0.6368949092229272
1,LR,"{'C': 0.001, 'penalty': 'l2'}",0.3,0.6658079553470114,0.37119198527908404,0.4334487286618121,0.3999118894212236,0.6368949092229272
1,LR,"{'C': 0.001, 'penalty': 'l2'}",0.5,0.5761646272272825,0.3330675335827762,0.6482034141100632,0.440032414910859,0.6368949092229272
1,LR,"{'C': 0.1, 'penalty': 'l1'}",0.01,0.7437666758671451,0.5337423312883436,0.02077115912617882,0.03998621165115478,0.6363389532617142
1,LR,"{'C': 0.1, 'penalty': 'l1'}",0.02,0.7416198975680068,0.46319018404907975,0.03605109227647129,0.06689555875512239,0.6363389532617142
1,LR,"{'C': 0.1, 'penalty': 'l1'}",0.05,0.7394117827460361,0.46319018404907975,0.09012773069117823,0.15089437393824326,0.6363389532617142
1,LR,"{'C': 0.1, 'penalty': 'l1'}",0.1,0.7297206121384978,0.4331288343558282,0.16855676256416377,0.24267422875311503,0.6363389532617142
1,LR,"{'C': 0.1, 'penalty': 'l1'}",0.2,0.7039899408102555,0.4022389204109799,0.31311925510325894,0.3521278023895825,0.6363389532617142
1,LR,"{'C': 0.1, 'penalty': 'l1'}",0.3,0.6668506762351643,0.3729298711919853,0.4354780947833353,0.40178423922022133,0.6363389532617142
1,LR,"{'C': 0.1, 'penalty': 'l1'}",0.5,0.5736498297911491,0.3305526590198123,0.6433090605228602,0.436709886547812,0.6363389532617142
1,LR,"{'C': 0.1, 'penalty': 'l2'}",0.01,0.7428466280246573,0.48773006134969327,0.018980541960128924,0.036539124439848324,0.6339727274397879
1,LR,"{'C': 0.1, 'penalty': 'l2'}",0.02,0.7421719262734996,0.47699386503067487,0.03712546257610123,0.0688891350094141,0.6339727274397879
1,LR,"{'C': 0.1, 'penalty': 'l2'}",0.05,0.7381237157665532,0.4503067484662577,0.08762086665870837,0.14669731188168283,0.6339727274397879
1,LR,"{'C': 0.1, 'penalty': 'l2'}",0.1,0.7283098721133499,0.4260736196319018,0.16581114957622062,0.23872131992781648,0.6339727274397879
1,LR,"{'C': 0.1, 'penalty': 'l2'}",0.2,0.7015364798969547,0.3961048918877473,0.30834427599379255,0.346757954087797,0.6339727274397879
1,LR,"{'C': 0.1, 'penalty': 'l2'}",0.3,0.6637838500935382,0.36781844203639336,0.4295093708965023,0.3962773280466986,0.6339727274397879
1,LR,"{'C': 0.1, 'penalty': 'l2'}",0.5,0.5727297819486613,0.3296325829601914,0.6415184433568103,0.4354943273905997,0.6339727274397879
1,KNN,"{'n_neighbors': 5, 'weights': 'uniform'}",0.01,0.7402091575428589,0.3558282208588957,0.013847439417452548,0.02665747443410318,0.5694351601734029
1,KNN,"{'n_neighbors': 5, 'weights': 'uniform'}",0.02,0.7368969853099028,0.3450920245398773,0.026859257490748478,0.04983940635729317,0.5694351601734029
1,KNN,"{'n_neighbors': 5, 'weights': 'uniform'}",0.05,0.7269604686110345,0.33865030674846625,0.06589471171063627,0.11032277405815928,0.5694351601734029
1,KNN,"{'n_neighbors': 5, 'weights': 'uniform'}",0.1,0.709234213512436,0.33067484662576685,0.12868568700011937,0.18527111798573515,0.5694351601734029
1,KNN,"{'n_neighbors': 5, 'weights': 'uniform'}",0.2,0.672953660257,0.3246434595920871,0.25271576936850904,0.2841992213719962,0.5694351601734029
1,KNN,"{'n_neighbors': 5, 'weights': 'uniform'}",0.3,0.6324408869261201,0.3155796360662441,0.36850901277306913,0.33999669585329595,0.5694351601734029
1,KNN,"{'n_neighbors': 5, 'weights': 'uniform'}",0.5,0.5396693961419328,0.2965711832178127,0.5771755998567506,0.3918152350081037,0.5694351601734029
1,KNN,"{'n_neighbors': 5, 'weights': 'distance'}",0.01,0.7402091575428589,0.3558282208588957,0.013847439417452548,0.02665747443410318,0.5691406185529222
1,KNN,"{'n_neighbors': 5, 'weights': 'distance'}",0.02,0.7376943601067255,0.36503067484662577,0.028411125701325056,0.05271901650238122,0.5691406185529222
1,KNN,"{'n_neighbors': 5, 'weights': 'distance'}",0.05,0.7275124973165271,0.3441717791411043,0.0669690820102662,0.11212151493954232,0.5691406185529222
1,KNN,"{'n_neighbors': 5, 'weights': 'distance'}",0.1,0.7100315883092587,0.3346625766871166,0.13023755521069597,0.18750537080003438,0.5691406185529222
1,KNN,"{'n_neighbors': 5, 'weights': 'distance'}",0.2,0.6702548532523691,0.31789602821653123,0.24746329234809597,0.2782923882400322,0.5691406185529222
1,KNN,"{'n_neighbors': 5, 'weights': 'distance'}",0.3,0.6320728677891251,0.3149662645675731,0.36779276590664917,0.33933586651247316,0.5691406185529222
1,KNN,"{'n_neighbors': 5, 'weights': 'distance'}",0.5,0.5393627135277701,0.296264491197939,0.5765787274680674,0.3914100486223663,0.5691406185529222
1,KNN,"{'n_neighbors': 10, 'weights': 'uniform'}",0.01,0.7411292053853467,0.401840490797546,0.01563805658350245,0.03010456164540963,0.5880346792957606
1,KNN,"{'n_neighbors': 10, 'weights': 'uniform'}",0.02,0.739043763609041,0.3987730061349693,0.031037364211531575,0.05759220290176099,0.5880346792957606
1,KNN,"{'n_neighbors': 10, 'weights': 'uniform'}",0.05,0.7305793234581531,0.37484662576687117,0.0729378058970992,0.12211451983611472,0.5880346792957606
1,KNN,"{'n_neighbors': 10, 'weights': 'uniform'}",0.1,0.7148158370901954,0.3585889570552147,0.13954876447415543,0.20091088768582968,0.5880346792957606
1,KNN,"{'n_neighbors': 10, 'weights': 'uniform'}",0.2,0.6803140429969025,0.343045545161785,0.2670407066969082,0.3003087662773527,0.5880346792957606
1,KNN,"{'n_neighbors': 10, 'weights': 'uniform'}",0.3,0.6376544913668845,0.32426906563075036,0.3786558433806852,0.3493584448482846,0.5880346792957606
1,KNN,"{'n_neighbors': 10, 'weights': 'uniform'}",0.5,0.5458030484251848,0.3027050236152855,0.5891130476304166,0.3999189627228525,0.5880346792957606
1,KNN,"{'n_neighbors': 10, 'weights': 'distance'}",0.01,0.7413132149538443,0.4110429447852761,0.015996180016712425,0.030793979087670915,0.5874631450391037
1,KNN,"{'n_neighbors': 10, 'weights': 'distance'}",0.02,0.739043763609041,0.3987730061349693,0.031037364211531575,0.05759220290176099,0.5874631450391037
1,KNN,"{'n_neighbors': 10, 'weights': 'distance'}",0.05,0.7303953138896556,0.37300613496932516,0.07257968246388923,0.12151493954232037,0.5874631450391037
